authorId,name,papers
1739594,Wenjiang Huang,11
1679742,G. Pajares,8
1792073,Minzan Li,6
1953258,Y. Miao,6
46878887,Guifen Chen,6
37345377,A. N. Harun,5
92330396,Xiaofei An,5
47366436,Herman Sahota,5
1909719357,Ratnesh Kumar,5
3034297,Liying Cao,5
2801990,G. Bareth,5
144568278,T. Jensen,4
2109655595,Jihua Wang,4
34200350,S. Bagis,4
1706713,Zhijun Meng,4
35050981,M. Guijarro,4
1401923045,Alfonso F. Torres-Rua,4
32349706,G. Ruß,4
2109655559,Ji‐Hua Wang,4
1707992,Cunjun Li,4
