authorId,name,url
1689971,D. Monarca,
90660111,V. Laurendi,
11290896,Mauro Villarini,
87707712,F. Gambella,
3332010,M. Cecchini,
2123220,C. G. Schütz,
27066656,Simon Schausberger,
1723099,M. Schrefl,
38036973,A. Habib,
2267328824,Tian Zhou,
89582257,A. Masjedi,
2118748587,Zhou Zhang,
41018495,John Evan Flatt,
15760889,M. Crawford,
34662664,G. Corrado,
144828339,R. Rao,
1398294938,I. García-Magariño,
6922892,R. Lacuesta,
144484046,Jaime Lloret,
52055467,M. Kantor,
143927975,A. Levi,
2678389,R. Bramley,
90475601,J. Ouzman,
89413894,D. Gobbett,
90190561,Qiaoyun Xie,
145291610,J. Dash,
1739594,Wenjiang Huang,
1793603,D. Peng,
40286908,Q. Qin,
37951037,H. Mortimer,
4600514,R. Casa,
2756871,S. Pignatti,
3070715,G. Laneve,
2442601,S. Pascucci,
1710615,Yingying Dong,
3146040,H. Ye,
2237589259,Biqing Li,
2349798232,Yongfa Ling,
2056454547,Miao Tian,
20479308,Shiyong Zheng,
2132295849,A. Meshram,
51187926,Kala H S,
51183853,R. Hebbar,
51200687,A. S,
2112918495,A. R,
51200922,Amith R Patil,
115339421,D. Kamble,
2065864586,P. V. Vinod,
2401743553,Shulin Yang,
3302827,Xiaobing Yang,
2066644262,Jianyou Mo,
1764301,A. Kamilaris,
1398263014,F. Prenafeta-Boldú,
46558757,K. György,
2075583150,Ibolya Lámfalusi,
47752731,A. Molnár,
88219695,D. Sulyok,
22921898,M. Gaál,
47574729,Z. Horváth,
100641510,Csaba Domán,
2057522600,Ivett Illés,
48095725,A. Kiss,
2060450981,K. Péter,
123511242,G. Kemény,
2113636499,Hui Wang,
153276857,F. Wellmann,
92171003,M. Kanig,
70806063,C. Hebel,
30932304,J. Kruk,
1414520686,Jorge Granda-Cantuña,
1414583154,Carlos Molina-Colcha,
1411089189,Sergio-Enrique Hidalgo-Lupera,
1414702957,Christian-David Valarezo-Varela,
147859429,P. Paridad,
2090656919,Luciana Giuzio,
103746487,S. D. Sasso,
48371938,M. Fiorentino,
2503277,S. Manfreda,
2052927458,J. Ford,
4326554,M. Hassanein,
145795755,Z. Lari,
70219005,N. El-Sheimy,
22230396,Zhaodi Wang,
14425187,Menghan Hu,
144826390,Guangtao Zhai,
82677818,M. Pawar,
9140022,Geetha R. Chillarge,
3008023,B. Ortuani,
2690635,G. Sona,
1382695760,Giulia Ronchetti,
3180942,A. Facchi,
73036662,P. Suvithavani,
66521395,S. Rathi,
47490088,M. Kambouris,
16010216,Y. Manoussopoulos,
10355121,S. Kritikou,
40813671,Aphroditi Milioni,
2337434199,Spyridon Mantzoukas,
6323511,A. Velegraki,
1398994076,Daniela D’Auria,
1721021,Fabio Persia,
2140016461,R.O. Sobayo,
2234713,Hsiang-Huang Wu,
153834483,Ram Lakhan Ray,
145918251,Lijun Qian,
152907292,Iuri R. Souza,
2209079,M. Escarpinati,
1995500,D. Abdala,
2288257,S. Das,
48967665,I. Saha,
2143395388,H. C. Oliveira,
9370721,V. Guizilini,
50875010,Israel P. Nunes,
2095013870,Jefferson R. Souza,
143801464,C. Camino,
1402203033,P. Zarco-Tejada,
1398285553,V. González-Dugo,
2252019525,Bradley J. White,
3483247,D. Amrine,
2251977328,Robert L. Larson,
152316445,A. Molnár,
2061148741,A. Kiss,
121758692,Ivett Illés,
103698539,Ibolya Lámfalusi,
120384485,Carlos H O Lima,
144543691,R. Sarmento,
153763920,Tarcísio V. S. Galdino,
12088059,P. S. Pereira,
2111054414,Joedna Silva,
8610686,D. J. Souza,
2111743629,Gil R. Santos,
48360475,T. L. Costa,
6471578,M. Picanço,
46947026,Zhijun Li,
1679043,T. He,
48727796,Radhika Ravi,
9691810,Yun-Jou Lin,
41017066,Magdy Elbahnasawy,
12928439,Tamer Shamseldin,
1883510,A. Habib,
113509937,Fundação de Tecnologia Industrial Ft,
9035672,Hazim Shakhatreh,
9196469,Ahmad H. Sawalmeh,
1404786833,Ala I. Al-Fuqaha,
144332856,Zuochao Dou,
30873626,Eyad K. Almaita,
1783739,Issa M. Khalil,
25577543,Noor Shamsiah Othman,
1750196,Abdallah Khreishah,
145837053,M. Guizani,
46594718,Amarendra Goap,
2118803751,Deepak Sharma,
2080179405,A. K. Shukla,
2238452454,C. R. Krishna,
34526438,P. Tripodi,
48134783,D. Massa,
48058743,A. Venezia,
3110341,T. Cardi,
2819896,Carlos Cambra Baseca,
1718316,S. Sendra,
2053096252,Ricardo Reis,
144907742,Jorge Mendes,
40383247,F. Santos,
46535796,Raul Morais,
37417563,Nuno Ferraz,
153423509,L. Santos,
145320964,A. Sousa,
90297904,A. Yadav,
47326101,D. Srivastava,
9303720,Xiangyi Xu,
123106705,Weijian Chen,
48665441,Guangming Zhao,
2110453467,Yihang Li,
2158095795,Chenyang Lu,
1761224,Lan Yang,
2329285344,E. Murali,
93379385,V. Gopi,
144279507,V. Karthik,
1414758449,.. M.Malli,
2286923261,Dr. S Sathish Kumar,
79993471,S. Botha,
9085865,Darelle van Greunen,
33802033,P. Downs,
13914444,Scott R. Dusterhoff,
33787392,G. Leverich,
2026325,P. Soar,
2159903200,Michael B. Napolitano,
52223895,T. A. Ali,
52228716,Viraj Choksi,
2286965038,Dr. M B Potdar,
2949461,O. Yuzugullu,
2953237,E. Erten,
153836758,Z. M. Sahin,
3320229,I. Hajnsek,
51289359,Yeison Andres Urrea,
27802035,Fulvio Yesid Vivas,
2098247373,Oscar M. Caicedo,
2157358533,J. Yang,
73431217,Meng-xia Gu,
52189452,Manishkumar Dholu,
1397286173,K. Ghodinde,
2066204229,Khalid Salah,
9203064,Xiaoqi Chen,
2173139,K. Neshatian,
1739406,C. Pretty,
48740833,K. Jedlička,
2289002,K. Charvát,
2004352584,Gabriel Gaál,
2142875043,T. A. D. Da Silva,
41023008,Vladimir Gaal,
41018064,R. C. Hensel,
6817917,L. R. Amaral,
46903596,V. Rodrigues,
50752851,A. Riul,
29009240,Amanda Ramcharan,
49466998,Peter McCloskey,
2064837181,Kelsee Baranowski,
46241906,N. Mbilinyi,
46211060,Latifa Mrisho,
13260913,Mathias Ndalahwa,
4118885,J. Legg,
2068146094,David P. Hughes,
2027868326,Sebastian Rudolph,
38905213,B. Marchant,
1808347,L. Weihermüller,
1783504,H. Vereecken,
32066369,Stanton L. Martin,
2055859442,T. George,
39433414,S. Basu,
67289905,Adekemi Omotubora,
65745573,M. Beeson,
2053944696,Charles Fox,
3408636,Z. Bian,
38745999,Biao Cao,
2127040466,Hua Li,
3199465,Yongming Du,
40586344,Huaguo Huang,
144280815,Q. Xiao,
2109312657,Qinhuo Liu,
114619025,رضا براتی رشوانلو,
2099694587,مهدی فرزادکیا,
97551257,محمد ماروسی,
32399736,T. Bae,
50619717,Minho Kim,
40898131,Martina Mammarella,
34692184,E. Capello,
