authorId,name,url,paperCount,citationCount
3350812,Jens Behley,https://www.semanticscholar.org/author/3350812,109,8663
40225007,S. M. Pedersen,https://www.semanticscholar.org/author/40225007,93,2450
2895826,J. Behmann,https://www.semanticscholar.org/author/2895826,40,2663
66371288,N. Wimalathunge,https://www.semanticscholar.org/author/66371288,13,271
2639069,Liegang Xia,https://www.semanticscholar.org/author/2639069,35,401
152171655,J. Rodrigues,https://www.semanticscholar.org/author/152171655,334,17708
48458509,Zhenhai Li,https://www.semanticscholar.org/author/48458509,112,5992
7022516,M. Kuska,https://www.semanticscholar.org/author/7022516,30,1435
70219005,N. El-Sheimy,https://www.semanticscholar.org/author/70219005,489,11776
2852289,U. Rascher,https://www.semanticscholar.org/author/2852289,344,15270
145769781,H. Nieto,https://www.semanticscholar.org/author/145769781,115,3886
143642265,J. Taylor,https://www.semanticscholar.org/author/143642265,70,1893
38197548,Pallegedara D. S. N. Somarathna,https://www.semanticscholar.org/author/38197548,2,237
15760889,M. Crawford,https://www.semanticscholar.org/author/15760889,221,7603
65956839,L. Pozza,https://www.semanticscholar.org/author/65956839,11,707
23183629,S. Ugbaje,https://www.semanticscholar.org/author/23183629,15,424
14931218,Thomas G. Jephcott,https://www.semanticscholar.org/author/14931218,10,518
1478882754,H. Nguyen,https://www.semanticscholar.org/author/1478882754,4,97
2384980,C. Nansen,https://www.semanticscholar.org/author/2384980,158,3107
35629016,R. Shamshiri,https://www.semanticscholar.org/author/35629016,73,3220
2050822171,Cornelia Weltzien,https://www.semanticscholar.org/author/2050822171,49,1711
2754221,I. Hameed,https://www.semanticscholar.org/author/2754221,179,5979
29777554,M. Vuran,https://www.semanticscholar.org/author/29777554,168,18712
30717447,Rigoberto Wong,https://www.semanticscholar.org/author/30717447,3,324
2684806,S. Irmak,https://www.semanticscholar.org/author/2684806,311,10185
4850448,T. Grift,https://www.semanticscholar.org/author/4850448,120,4454
50427088,D. Houghton,https://www.semanticscholar.org/author/50427088,102,1657
51260647,S. K. Balasundram,https://www.semanticscholar.org/author/51260647,88,3262
1403968481,Mayra Erazo-Rodas,https://www.semanticscholar.org/author/1403968481,11,140
1405458068,Mary Sandoval-Moreno,https://www.semanticscholar.org/author/1405458068,3,49
1397324845,Sergio Muñoz-Romero,https://www.semanticscholar.org/author/1397324845,56,633
31546670,Mónica Huerta,https://www.semanticscholar.org/author/31546670,15,161
1405458079,D. Rivas-Lalaleo,https://www.semanticscholar.org/author/1405458079,28,113
2266590,Lenka Pitonakova,https://www.semanticscholar.org/author/2266590,25,1015
2228395,T. Läbe,https://www.semanticscholar.org/author/2228395,29,1329
1397324809,J. Rojo-álvarez,https://www.semanticscholar.org/author/1397324809,298,4972
2487386,E. Kayacan,https://www.semanticscholar.org/author/2487386,49,1923
40590961,Stacey Paterson,https://www.semanticscholar.org/author/40590961,10,413
143801464,C. Camino,https://www.semanticscholar.org/author/143801464,29,1035
1398285553,V. González-Dugo,https://www.semanticscholar.org/author/1398285553,80,4965
27088096,A. C. Leite,https://www.semanticscholar.org/author/27088096,51,417
117261245,T. Bishop,https://www.semanticscholar.org/author/117261245,120,4685
2759880,D. Bloisi,https://www.semanticscholar.org/author/2759880,88,2016
144485801,F. Fritschi,https://www.semanticscholar.org/author/144485801,193,7770
47109477,K. Peterson,https://www.semanticscholar.org/author/47109477,10,1627
145357985,V. M. Ngo,https://www.semanticscholar.org/author/145357985,51,587
2108240,S. Vougioukas,https://www.semanticscholar.org/author/2108240,108,2439
81968790,S. Hartling,https://www.semanticscholar.org/author/81968790,13,1922
3011642,Sanmeet Kaur,https://www.semanticscholar.org/author/3011642,54,1610
46250397,Jana Huchtkoetter,https://www.semanticscholar.org/author/46250397,7,50
