sourcePaperId,targetPaperId
311e8edb636278d4b8c8d03010b56cc53f8b2a05,52b7658a658b38cc04936370761bea1a13e97ac5
311e8edb636278d4b8c8d03010b56cc53f8b2a05,d3be743853e88b67aecc74501b1ea9b4afa15e7e
311e8edb636278d4b8c8d03010b56cc53f8b2a05,53ab03566d6ac19a63a10011df9936cea8a80a52
311e8edb636278d4b8c8d03010b56cc53f8b2a05,bc4fe49d3dab3c7872808004190b6b4badeee92e
311e8edb636278d4b8c8d03010b56cc53f8b2a05,6af638f63ca6ae6a15642ec7dc494493a39ecf88
311e8edb636278d4b8c8d03010b56cc53f8b2a05,32a05961fffb65a8e6e4e1f976d9dd6cbb94cb52
311e8edb636278d4b8c8d03010b56cc53f8b2a05,710403b11ba4d24c6b618d849fee4a4451bff357
311e8edb636278d4b8c8d03010b56cc53f8b2a05,6ae00ebd3a91c0667c79c39035b5163025bcfcad
33c834f48f7ef89f275833a7af45c6c6a6747b81,5d7a77ebca713a6fccb6fb6fc9a78ae8469ee01c
33c834f48f7ef89f275833a7af45c6c6a6747b81,4b37870694e9d4d32639ab16979dfd6ec10f9c25
33c834f48f7ef89f275833a7af45c6c6a6747b81,f63e8b58def0d03325207edf1484d05764b1216f
33c834f48f7ef89f275833a7af45c6c6a6747b81,b2cafb66d7af5d0fd7894267b5bf89896681cbf0
33c834f48f7ef89f275833a7af45c6c6a6747b81,2ffdda682ead5703a21687e50a32988786fc916c
33c834f48f7ef89f275833a7af45c6c6a6747b81,8f547caac0d2079ba86d1f6ef267c593b01febad
33c834f48f7ef89f275833a7af45c6c6a6747b81,71a49a994af22a6996460cc1e886569ee858ffd3
33c834f48f7ef89f275833a7af45c6c6a6747b81,4286060ab57c7ead2f7d8118879232798aa61df6
33c834f48f7ef89f275833a7af45c6c6a6747b81,d7d3dd25b5c082aedfe4d9f88ab291f43b58b191
33c834f48f7ef89f275833a7af45c6c6a6747b81,ae6002d3d5b9d73ae5411fad45373285f862bf76
33c834f48f7ef89f275833a7af45c6c6a6747b81,7a664617aec0d31a3be96300c0d02ef28434f312
33c834f48f7ef89f275833a7af45c6c6a6747b81,dcd874fbaff31618a9433d3dc021832a76026c5b
33c834f48f7ef89f275833a7af45c6c6a6747b81,04079da40a7403d67cafaddbe5d472504ade62d1
33c834f48f7ef89f275833a7af45c6c6a6747b81,3e4ba21b8f674dbcd1b27d5d423484704662e73e
33c834f48f7ef89f275833a7af45c6c6a6747b81,3d50ab7ce1a62df5240a5a99a2b4027e5995e1b7
33c834f48f7ef89f275833a7af45c6c6a6747b81,64e515a468557ae1e9ae6056d6f39933dd8fde3b
33c834f48f7ef89f275833a7af45c6c6a6747b81,d10d51d6c929d297f65475067557e90cd80a3101
33c834f48f7ef89f275833a7af45c6c6a6747b81,ebbc31c75724c009c2f840ca157cf884ec8c8aaa
21a8aaceb8984952950f3ebdd4bfd445813419c8,f72644355b92aa766bb1482ce32235dcfe35f7b7
21a8aaceb8984952950f3ebdd4bfd445813419c8,13cece1c7bbbb55b41904e88e96202c2d8f7e45a
21a8aaceb8984952950f3ebdd4bfd445813419c8,f4ee248bbdc18ff78447a91ef298b32165e30b81
21a8aaceb8984952950f3ebdd4bfd445813419c8,6fb48d4956606e3c73235dca2eca333fe6374cb3
21a8aaceb8984952950f3ebdd4bfd445813419c8,7fb26856879ab7ffd27c74f6232da784be7f4516
21a8aaceb8984952950f3ebdd4bfd445813419c8,291e74171c37ea582ad9081a8df0a8556c790919
21a8aaceb8984952950f3ebdd4bfd445813419c8,7d9eba1047bb18e16f2c40edecd69fc051a3ee6c
21a8aaceb8984952950f3ebdd4bfd445813419c8,744cef615529044e7c60660a8f55b071b01b383c
21a8aaceb8984952950f3ebdd4bfd445813419c8,7a117d95830b6df328a286920ba08b09505ed437
