paperId,authorId
14bb7289a39918bc7f0511d1a1f711ce18ee0496,114121469
14bb7289a39918bc7f0511d1a1f711ce18ee0496,2900433
14bb7289a39918bc7f0511d1a1f711ce18ee0496,39958963
14bb7289a39918bc7f0511d1a1f711ce18ee0496,70087764
311e8edb636278d4b8c8d03010b56cc53f8b2a05,39078829
c16832dde0ab4a91e54649053d211591c71aea94,13023073
c16832dde0ab4a91e54649053d211591c71aea94,91062205
c16832dde0ab4a91e54649053d211591c71aea94,9422111
c16832dde0ab4a91e54649053d211591c71aea94,9157647
33c834f48f7ef89f275833a7af45c6c6a6747b81,2262732694
33c834f48f7ef89f275833a7af45c6c6a6747b81,2262841769
33c834f48f7ef89f275833a7af45c6c6a6747b81,2263231136
33c834f48f7ef89f275833a7af45c6c6a6747b81,2263233028
33c834f48f7ef89f275833a7af45c6c6a6747b81,2144351533
33c834f48f7ef89f275833a7af45c6c6a6747b81,2262830733
6e54db2c2e22a07bb6c8ca0c9c492eb5a98d33f0,47858848
6e54db2c2e22a07bb6c8ca0c9c492eb5a98d33f0,4937100
6e54db2c2e22a07bb6c8ca0c9c492eb5a98d33f0,7625627
6e54db2c2e22a07bb6c8ca0c9c492eb5a98d33f0,5298278
dfafa54415164d92d671e078c45d94a6ded7d560,4118797
dfafa54415164d92d671e078c45d94a6ded7d560,7276443
3f74f6417111a26b295797b44db7800e74e67dd7,1398689878
3f74f6417111a26b295797b44db7800e74e67dd7,1388890277
3f74f6417111a26b295797b44db7800e74e67dd7,1403266130
3f74f6417111a26b295797b44db7800e74e67dd7,1400928866
31276d9155c9136574fa9100396f968375d2845f,50099904
31276d9155c9136574fa9100396f968375d2845f,12018423
2e09243ca57bc5af34c49f45c7f71d69d9f6f44e,2280949
2e09243ca57bc5af34c49f45c7f71d69d9f6f44e,2132147
b12f84361189629226ec1fa9e5b254a5001cbbf8,2556735
21a8aaceb8984952950f3ebdd4bfd445813419c8,2100774
21a8aaceb8984952950f3ebdd4bfd445813419c8,10953892
21a8aaceb8984952950f3ebdd4bfd445813419c8,5310144
e420a488d20c5ad75ac5230fd3ccc3c0b790ecd3,90940506
e420a488d20c5ad75ac5230fd3ccc3c0b790ecd3,5633008
e420a488d20c5ad75ac5230fd3ccc3c0b790ecd3,119487388
f4b1453fb86b04d841b68dfe963d134b3a7c1f74,2070057992
f4b1453fb86b04d841b68dfe963d134b3a7c1f74,1866341
f4b1453fb86b04d841b68dfe963d134b3a7c1f74,145097122
f9ede7ff67003ef1de06ea1ccb8eac9c7d3041fb,9172247
f9ede7ff67003ef1de06ea1ccb8eac9c7d3041fb,9076188
f9ede7ff67003ef1de06ea1ccb8eac9c7d3041fb,2144961743
cf34ba2beb033fb2f525c6be10852042c164b239,49475704
